id,date,store_nbr,family,sales,onpromotion
0,2024-01-01,1,GROCERY,191.04,3
1,2024-01-01,1,PRODUCE,83.78,0
2,2024-01-01,1,DAIRY,66.15,0
3,2024-01-01,1,HOUSEHOLD,43.66,0
4,2024-01-01,2,GROCERY,194.97,0
5,2024-01-01,2,PRODUCE,44.12,0
6,2024-01-01,2,DAIRY,87.43,0
7,2024-01-01,2,HOUSEHOLD,32.84,0
8,2024-01-01,3,GROCERY,227.91,0
9,2024-01-01,3,PRODUCE,136.03,0
10,2024-01-01,3,DAIRY,101.58,0
11,2024-01-01,3,HOUSEHOLD,74.62,0
12,2024-01-02,1,GROCERY,174.91,0
13,2024-01-02,1,PRODUCE,94.06,0
14,2024-01-02,1,DAIRY,58.58,0
15,2024-01-02,1,HOUSEHOLD,13.93,0
16,2024-01-02,2,GROCERY,204.02,0
17,2024-01-02,2,PRODUCE,167.83,0
18,2024-01-02,2,DAIRY,83.19,0
19,2024-01-02,2,HOUSEHOLD,36.28,0
20,2024-01-02,3,GROCERY,249.14,0
21,2024-01-02,3,PRODUCE,54.46,0
22,2024-01-02,3,DAIRY,92.1,0
23,2024-01-02,3,HOUSEHOLD,57.82,0
24,2024-01-03,1,GROCERY,179.28,0
25,2024-01-03,1,PRODUCE,81.47,0
26,2024-01-03,1,DAIRY,72.2,0
27,2024-01-03,1,HOUSEHOLD,35.86,0
28,2024-01-03,2,GROCERY,216.95,0
29,2024-01-03,2,PRODUCE,61.12,0
30,2024-01-03,2,DAIRY,91.09,0
31,2024-01-03,2,HOUSEHOLD,6.44,0
32,2024-01-03,3,GROCERY,160.7,0
33,2024-01-03,3,PRODUCE,98.61,0
34,2024-01-03,3,DAIRY,81.56,0
35,2024-01-03,3,HOUSEHOLD,67.53,0
36,2024-01-04,1,GROCERY,175.35,0
37,2024-01-04,1,PRODUCE,46.23,0
38,2024-01-04,1,DAIRY,77.99,0
39,2024-01-04,1,HOUSEHOLD,14.17,0
40,2024-01-04,2,GROCERY,196.44,0
41,2024-01-04,2,PRODUCE,97.31,0
42,2024-01-04,2,DAIRY,84.41,0
43,2024-01-04,2,HOUSEHOLD,55.97,0
44,2024-01-04,3,GROCERY,252.56,0
45,2024-01-04,3,PRODUCE,148.56,0
46,2024-01-04,3,DAIRY,109.18,0
47,2024-01-04,3,HOUSEHOLD,51.86,3
48,2024-01-05,1,GROCERY,150.31,0
49,2024-01-05,1,PRODUCE,64.39,0
50,2024-01-05,1,DAIRY,62.0,0
51,2024-01-05,1,HOUSEHOLD,40.28,0
52,2024-01-05,2,GROCERY,192.7,0
53,2024-01-05,2,PRODUCE,213.48,0
54,2024-01-05,2,DAIRY,70.57,0
55,2024-01-05,2,HOUSEHOLD,13.75,3
56,2024-01-05,3,GROCERY,256.43,0
57,2024-01-05,3,PRODUCE,204.62,0
58,2024-01-05,3,DAIRY,128.08,3
59,2024-01-05,3,HOUSEHOLD,59.97,3
60,2024-01-06,1,GROCERY,228.62,0
61,2024-01-06,1,PRODUCE,104.37,0
62,2024-01-06,1,DAIRY,60.5,0
63,2024-01-06,1,HOUSEHOLD,24.16,3
64,2024-01-06,2,GROCERY,265.87,0
65,2024-01-06,2,PRODUCE,56.01,0
66,2024-01-06,2,DAIRY,120.02,3
67,2024-01-06,2,HOUSEHOLD,47.57,3
68,2024-01-06,3,GROCERY,271.29,0
69,2024-01-06,3,PRODUCE,242.39,3
70,2024-01-06,3,DAIRY,155.72,3
71,2024-01-06,3,HOUSEHOLD,124.83,0
72,2024-01-07,1,GROCERY,209.91,0
73,2024-01-07,1,PRODUCE,82.08,0
74,2024-01-07,1,DAIRY,87.81,3
75,2024-01-07,1,HOUSEHOLD,18.55,3
76,2024-01-07,2,GROCERY,266.07,0
77,2024-01-07,2,PRODUCE,123.1,3
78,2024-01-07,2,DAIRY,117.88,3
79,2024-01-07,2,HOUSEHOLD,65.57,0
80,2024-01-07,3,GROCERY,309.25,3
81,2024-01-07,3,PRODUCE,166.04,3
82,2024-01-07,3,DAIRY,78.61,0
83,2024-01-07,3,HOUSEHOLD,22.2,0
84,2024-01-08,1,GROCERY,151.84,0
85,2024-01-08,1,PRODUCE,126.7,3
86,2024-01-08,1,DAIRY,98.98,3
87,2024-01-08,1,HOUSEHOLD,31.36,0
88,2024-01-08,2,GROCERY,246.48,3
89,2024-01-08,2,PRODUCE,141.69,3
90,2024-01-08,2,DAIRY,99.18,0
91,2024-01-08,2,HOUSEHOLD,57.75,0
92,2024-01-08,3,GROCERY,291.71,3
93,2024-01-08,3,PRODUCE,77.88,0
94,2024-01-08,3,DAIRY,114.02,0
95,2024-01-08,3,HOUSEHOLD,55.36,0
96,2024-01-09,1,GROCERY,224.51,3
97,2024-01-09,1,PRODUCE,107.42,3
98,2024-01-09,1,DAIRY,91.84,0
99,2024-01-09,1,HOUSEHOLD,25.45,0
100,2024-01-09,2,GROCERY,284.91,3
101,2024-01-09,2,PRODUCE,115.83,0
102,2024-01-09,2,DAIRY,75.33,0
103,2024-01-09,2,HOUSEHOLD,14.7,0
104,2024-01-09,3,GROCERY,231.29,0
105,2024-01-09,3,PRODUCE,205.37,0
106,2024-01-09,3,DAIRY,112.57,0
107,2024-01-09,3,HOUSEHOLD,63.16,0
108,2024-01-10,1,GROCERY,140.02,3
109,2024-01-10,1,PRODUCE,116.46,0
110,2024-01-10,1,DAIRY,74.81,0
111,2024-01-10,1,HOUSEHOLD,22.14,0
112,2024-01-10,2,GROCERY,184.47,0
113,2024-01-10,2,PRODUCE,110.72,0
114,2024-01-10,2,DAIRY,108.93,0
115,2024-01-10,2,HOUSEHOLD,16.28,0
116,2024-01-10,3,GROCERY,223.65,0
117,2024-01-10,3,PRODUCE,202.32,0
118,2024-01-10,3,DAIRY,90.34,0
119,2024-01-10,3,HOUSEHOLD,36.66,0
120,2024-01-11,1,GROCERY,165.27,0
121,2024-01-11,1,PRODUCE,45.69,0
122,2024-01-11,1,DAIRY,70.76,0
123,2024-01-11,1,HOUSEHOLD,10.63,0
124,2024-01-11,2,GROCERY,220.86,0
125,2024-01-11,2,PRODUCE,111.06,0
126,2024-01-11,2,DAIRY,117.38,0
127,2024-01-11,2,HOUSEHOLD,44.82,0
128,2024-01-11,3,GROCERY,274.62,0
129,2024-01-11,3,PRODUCE,62.75,0
130,2024-01-11,3,DAIRY,96.15,0
131,2024-01-11,3,HOUSEHOLD,54.03,0
132,2024-01-12,1,GROCERY,197.73,0
133,2024-01-12,1,PRODUCE,29.76,0
134,2024-01-12,1,DAIRY,80.27,0
135,2024-01-12,1,HOUSEHOLD,42.13,0
136,2024-01-12,2,GROCERY,236.59,0
137,2024-01-12,2,PRODUCE,142.64,0
138,2024-01-12,2,DAIRY,84.04,0
139,2024-01-12,2,HOUSEHOLD,27.71,0
140,2024-01-12,3,GROCERY,200.77,0
141,2024-01-12,3,PRODUCE,141.45,0
142,2024-01-12,3,DAIRY,95.0,0
143,2024-01-12,3,HOUSEHOLD,96.94,0
144,2024-01-13,1,GROCERY,181.95,0
145,2024-01-13,1,PRODUCE,123.06,0
146,2024-01-13,1,DAIRY,58.71,0
147,2024-01-13,1,HOUSEHOLD,29.87,0
148,2024-01-13,2,GROCERY,247.5,0
149,2024-01-13,2,PRODUCE,177.26,0
150,2024-01-13,2,DAIRY,126.05,0
151,2024-01-13,2,HOUSEHOLD,45.53,0
152,2024-01-13,3,GROCERY,245.58,0
153,2024-01-13,3,PRODUCE,186.42,0
154,2024-01-13,3,DAIRY,129.17,0
155,2024-01-13,3,HOUSEHOLD,63.05,3
156,2024-01-14,1,GROCERY,179.99,0
157,2024-01-14,1,PRODUCE,158.66,0
158,2024-01-14,1,DAIRY,83.17,0
159,2024-01-14,1,HOUSEHOLD,52.92,0
160,2024-01-14,2,GROCERY,276.89,0
161,2024-01-14,2,PRODUCE,165.95,0
162,2024-01-14,2,DAIRY,105.23,0
163,2024-01-14,2,HOUSEHOLD,91.8,3
